matID,rows,nnzs,mkl_seq,mkl_par,cusparse_v1,cusparse_v2_lvl,cusparse_v2_nolvl,syncfree
739,7337,136775,0.177881,0.271453,0.256662,0.324291,0.236842,0.0941
738,7337,136775,0.175542,0.274157,0.256682,0.327094,0.240022,0.094
1555,7479,36710,0.072864,0.235783,0.0163584,0.0237056,0.0250912,0.0213
920,7500,138334,0.159564,0.243788,0.125674,0.045568,0.0500704,0.0275
917,7500,18872,0.0489964,0.0875783,0.0224384,0.0264896,0.0322528,0.0149
1395,7548,530015,0.724284,0.923299,2.95618,0.468931,0.30177,0.314
1197,7598,28263,0.0559921,0.652378,0.0491104,0.146256,0.0660448,0.0937
1187,7602,20153,0.0500097,0.245763,0.299677,0.501907,0.264909,0.0994
435,7740,232876,0.321001,0.591514,1.51056,3.25914,1.68008,0.8867
2335,7980,220214,0.29546,0.673955,1.64733,1.97619,0.87183,0.6729
348,8032,10675,0.0447803,0.072019,0.0423392,0.0355264,0.031744,0.0252
343,8032,181746,0.255161,0.424469,3.19754,4.79358,3.12986,2.3393
1170,8081,11977,0.0509395,0.0748364,0.0532352,0.0378368,0.0375808,0.0252
1557,8127,42908,0.0802387,0.240807,0.0221152,0.0390496,0.0361472,0.024
2539,8140,1012521,1.31776,1.85133,0.569741,2.15136,0.524083,0.4162
1615,8192,25368,0.0602652,0.216702,0.334746,0.610518,0.823088,0.1394
312,8192,25368,0.059026,0.104943,0.334675,0.67616,0.750589,0.1394
1556,8204,41440,0.0798264,0.249056,0.0204544,0.035904,0.0335936,0.0154
791,8205,66886,0.0980802,0.147913,1.82694,1.75795,2.37855,0.5652
1348,8219,125444,0.177197,0.315007,10.419,9.52153,9.98226,8.0441
2398,8361,24112,0.120036,0.342495,0.147194,0.0793312,0.082432,0.0424
1404,8765,25618,0.113309,0.186341,0.454608,0.952816,1.12343,0.2347
936,9000,1644345,2.94285,2.67372,15.6598,11.0322,8.02929,8.2742
448,9035,132389,0.203374,0.30711,1.63893,2.36219,1.00884,0.6923
581,9129,34927,0.0713676,0.431018,0.718208,0.6716,0.618605,0.2214
580,9129,34927,0.0703473,0.143246,0.715872,0.655942,0.610925,0.2216
1558,9271,73041,0.115169,0.182929,0.0220544,0.0384448,0.0355328,0.0213
790,9506,760633,0.917891,1.28688,21.8826,9.53607,10.2004,16.0113
789,9506,760632,0.944916,1.19218,21.9095,9.5355,10.2122,16.0213
788,9506,758028,0.914483,1.28295,21.8338,9.22249,10.0012,15.9417
787,9506,758158,0.910794,1.24347,21.811,9.06396,9.70803,15.7397
786,9506,684169,0.821489,1.11651,20.9,10.1026,9.68284,14.4451
785,9506,591626,0.701244,1.06088,19.6913,9.75248,8.91003,14.1344
784,9506,490688,0.593789,0.804052,18.5587,8.89316,9.15312,11.1176
783,9506,413904,0.497995,0.853068,17.6424,9.18564,9.09814,9.9875
782,9506,352370,0.429462,0.658427,15.8365,8.82618,9.15313,9.631
781,9506,319563,0.399713,0.765154,14.0944,8.60042,8.96542,9.6904
780,9506,298259,0.377185,0.645019,13.3116,8.6782,9.13766,9.7315
779,9506,274654,0.354896,0.67993,12.2502,8.75196,10.5309,9.6515
778,9506,252825,0.355569,0.645236,11.5573,10.2614,11.5761,9.7292
777,9506,241989,0.314353,0.510585,11.34,10.3513,11.1126,9.7812
776,9506,228162,0.312576,0.567772,10.9587,11.2314,11.9512,10.0274
775,9506,208885,0.285847,0.476252,10.6385,15.2806,12.272,9.8473
774,9506,205477,0.299363,0.498462,10.9185,11.1109,12.2991,10.096
