m,nnzs,lvls,max_rl_cnt,max_cl_cnt,min_cl_cnt,min_rl_cnt,max_nnz_pl_rw,max_nnz_pl_cw,max_rl,max_cl,mean_rl,max_rpl,median_rpl,median_rl,median_cl,mean_nnz_pl_rw,std_rpl,std_nnz_pl_rw,std_rl,std_cl,mean_rpl,mean_max_cl_pl,mean_mean_cl_pl,mean_std_cl_pl,mean_max_rl_pl,mean_std_rl_pl,mean_mean_rl_pl,mean_min_rl_pl,mean_median_rl_pl,mkl_seq,mkl_par,cusparse_v1,cusparse_v2_lvl,cusparse_v2_nolvl,syncfree,winner,CPU winner,GPU winner,2nd,3rd,4th,5th,6th
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0390234,0.046799,0.068336,0.0556768,0.051712,0.0197,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.042315,0.0472411,0.0683136,0.0553184,0.051504,0.0198,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0411586,0.0445029,0.067664,0.055616,0.0518144,0.0196,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0395737,0.048275,0.0689024,0.0559008,0.0520224,0.021,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0404597,0.0457463,0.068656,0.0555072,0.051808,0.0197,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0383266,0.0475516,0.0681568,0.055344,0.0519136,0.0206,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0375277,0.0461783,0.0680832,0.0555104,0.0519168,0.0195,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0420916,0.0426163,0.0686528,0.0556576,0.0518176,0.0195,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0407194,0.0474057,0.0685184,0.0555072,0.0516096,0.0195,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0402043,0.041449,0.0682528,0.0556704,0.0520192,0.0196,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0407483,0.0470756,0.0680512,0.0554976,0.0512,0.0198,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0385468,0.0456344,0.068944,0.0554048,0.0517184,0.0207,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0387584,0.0430881,0.0686784,0.056304,0.0519168,0.0207,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0389318,0.0470043,0.0685184,0.0563328,0.05192,0.0198,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0395944,0.0427802,0.068256,0.055968,0.0516064,0.0196,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0383678,0.0484957,0.068096,0.0555904,0.051712,0.0199,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.039667,0.0444647,0.0685184,0.0553952,0.0517088,0.0197,6,1,7,1,2,5,4,3
