MKL(seq) Ana,MKL(par) Ana,cuSPARSE(v1) iluAna,cuSPARSE(v2)iluAna,Sync-Free ilu Ana,MKL(seq) ilu,MKL(par) ilu,cuSPARSE(v1) ilu,cuSPARSE(v2)iu,Sync-Free ilu,cuSPARSE(v1) ana,cusparse(v2)ana,Sync-Free ana,MKL(seq) 10 iter,MKL(par) 10 iter,cuSPARSE(v1)  10 iter,cuSPARSE(v2)lvl,cuSPARSE(v2)nolvl  10 iter,Sync-Free  10 iter,FE_ilu,m,FE_oh_wo,Emp_oh_wo,FE_oh_w,Emp_oh_w,SycnFree_LU
1.08674,1.11867,0,0.161792,0,1.09425,1.18998,0.15056,0.082944,0,2.72502,0.082944,0.0079,0.306042,0.372388,0.268704,0.25248,0.262112,0.145,0.000300032,1220,0.002092192,0.00662866,0.002392224,0.009308186,0.031
1.12718,0.99581,0,0.159744,0,1.0248,1.12336,0.149504,0.083968,0,2.73338,0.083968,0.008,0.317363,0.305593,0.275264,0.253344,0.261056,0.146,0.000299008,1220,0.002157888,0.006589378,0.002456896,0.009130754,0.032
1.21037,1.209,0,0.158752,0,1.37237,1.2356,0.149504,0.084992,0,2.75664,0.084992,0.0061,0.290132,0.363323,0.267936,0.254464,0.261152,0.132,0.000292864,1220,0.002179104,0.006539729,0.002471968,0.009540947,0.031
1.15614,1.10403,0,0.164864,0,1.21331,1.16942,0.14848,0.082944,0,2.71696,0.082944,0.006,0.307768,0.357769,0.266624,0.255584,0.260032,0.134,0.00029488,1220,0.002179552,0.006807051,0.002474432,0.009586069,0.031
1.19826,1.01362,0,0.16384,0,1.1969,1.09081,0.150528,0.084992,0,2.72336,0.084992,0.0062,0.280923,0.323754,0.266368,0.270496,0.26112,0.133,0.000285696,1220,0.002090848,0.006610383,0.002376544,0.009297453,0.031
1.02619,0.944439,0,0.160736,0,1.05274,1.277,0.150528,0.083968,0,2.7433,0.083968,0.0062,0.312652,0.30798,0.268704,0.256576,0.263136,0.135,0.000294912,1220,0.002082144,0.006589396,0.002377056,0.009314368,0.031
1.17656,1.19246,0,0.159744,0,1.1649,0.968908,0.151552,0.083968,0,2.73373,0.083968,0.0061,0.31088,0.323228,0.272288,0.255712,0.265248,0.134,0.00029184,1220,0.002107712,0.006355783,0.002399552,0.008884855,0.031
1.317,1.11643,0,0.159744,0,1.20483,1.1352,0.150496,0.08192,0,2.73936,0.08192,0.0061,0.297939,0.344792,0.272288,0.25264,0.262144,0.133,0.000281568,1220,0.00212272,0.006759203,0.002404288,0.009491393,0.031
1.32384,0.962668,0,0.157696,0,1.1164,1.13667,0.147456,0.082944,0,2.71098,0.082944,0.0061,0.312128,0.307333,0.26656,0.254208,0.260096,0.133,0.000275488,1220,0.002141856,0.006766779,0.002417344,0.009407945,0.031
1.14747,1.21734,0,0.164864,0,1.06668,1.26546,0.150528,0.083968,0,2.72269,0.083968,0.006,0.297988,0.334094,0.265472,0.252736,0.261024,0.133,0.00029184,1220,0.002172224,0.00664348,0.002464064,0.00937498,0.031
1.05782,1.04434,0,0.159744,0,1.16799,1.2594,0.147456,0.084992,0,2.70198,0.084992,0.008,0.31883,0.310867,0.269152,0.253792,0.263136,0.145,0.000277504,1220,0.00216256,0.006720559,0.002440064,0.009540141,0.032
1.14665,1.04581,0,0.160736,0,1.02804,1.20089,0.147456,0.083968,0,2.70557,0.083968,0.0061,0.290146,0.343851,0.269984,0.252512,0.261152,0.133,0.000301056,1220,0.002204288,0.006448443,0.002505344,0.009069533,0.032
1.23628,1.06543,0,0.159808,0,0.91176,1.27009,0.148448,0.083968,0,2.71171,0.083968,0.0061,0.317439,0.356307,0.265664,0.252192,0.261152,0.135,0.000282624,1220,0.002161472,0.006581992,0.002444096,0.009156066,0.032
1.24252,1.05243,0,0.157696,0,1.06196,1.10974,0.14848,0.082944,0,2.71619,0.082944,0.008,0.288806,0.345377,0.266656,0.252864,0.26416,0.145,0.000301056,1220,0.002194976,0.006671707,0.002496032,0.009232527,0.031
1.17268,1.14158,0,0.165888,0,1.01843,1.18669,0.149504,0.08192,0,2.73123,0.08192,0.0062,0.293865,0.316605,0.27296,0.251072,0.260096,0.133,0.000295936,1220,0.0021848,0.006641898,0.002480736,0.00924433,0.03
1.04689,1.12415,0,0.159744,0,1.0541,1.1684,0.150496,0.08192,0,2.74218,0.08192,0.0061,0.342888,0.338974,0.267488,0.254144,0.26208,0.133,0.000300032,1220,0.002151936,0.006743034,0.002451968,0.009357694,0.03
1.2985,1.13584,0,0.160768,0,1.2158,1.07107,0.146432,0.082944,0,2.71139,0.082944,0.0083,0.29952,0.342465,0.266176,0.255456,0.259008,0.145,0.000299008,1220,0.002180064,0.006541299,0.002479072,0.009218313,0.03
1.3896,1.20656,0,0.159744,0,1.15232,1.25559,0.149504,0.082944,0,2.75082,0.082944,0.0061,0.318593,0.346362,0.267264,0.252864,0.254912,0.134,0.000295936,1220,0.002199904,0.006848199,0.00249584,0.009648301,0.032
